Expert_ID,theme,from,to
Expert_002,Tema 2,Especies clave,Regulación de la biodiversidad global
Expert_002,Tema 2,Especies clave,Servicios ecosistemicos
Expert_002,Tema 2,Especies clave,Sustentabilidad
Expert_002,Tema 2,Evolución,Regulación de la biodiversidad global
Expert_002,Tema 2,Evolución,Servicios ecosistemicos
Expert_002,Tema 2,Evolución,Sustentabilidad
Expert_002,Tema 2,Regulación de la biodiversidad global,Servicios ecosistemicos
Expert_002,Tema 2,Regulación de la biodiversidad global,Sustentabilidad
Expert_002,Tema 2,Servicios ecosistemicos,Sustentabilidad
Expert_002,Tema 3,Cambio climático,Ciclos biogeoquímicos
Expert_002,Tema 3,Cambio climático,Ciencias marinas
Expert_002,Tema 3,Cambio climático,Dinámica costera
Expert_002,Tema 3,Cambio climático,Geografia
Expert_002,Tema 3,Cambio climático,Oceanografía física
Expert_002,Tema 3,Cambio climático,Regulación climática
Expert_002,Tema 3,Ciclos biogeoquímicos,Ciencias marinas
Expert_002,Tema 3,Ciclos biogeoquímicos,Dinámica costera
Expert_002,Tema 3,Ciclos biogeoquímicos,Geografia
Expert_002,Tema 3,Ciclos biogeoquímicos,Oceanografía física
Expert_002,Tema 3,Ciclos biogeoquímicos,Regulación climática
Expert_002,Tema 3,Ciencias marinas,Dinámica costera
Expert_002,Tema 3,Ciencias marinas,Geografia
Expert_002,Tema 3,Ciencias marinas,Oceanografía física
Expert_002,Tema 3,Ciencias marinas,Regulación climática
Expert_002,Tema 3,Dinámica costera,Geografia
Expert_002,Tema 3,Dinámica costera,Oceanografía física
Expert_002,Tema 3,Dinámica costera,Regulación climática
Expert_002,Tema 3,Geografia,Oceanografía física
Expert_002,Tema 3,Geografia,Regulación climática
Expert_002,Tema 3,Oceanografía física,Regulación climática
Expert_002,X,NA,NA
Expert_003,No,NA,NA
Expert_003,Tema 1,Amenazas humanas,Bienestar humano
Expert_003,Tema 1,Amenazas humanas,Conciencia ambiental
Expert_003,Tema 1,Amenazas humanas,Contaminación
Expert_003,Tema 1,Amenazas humanas,Regulación climática
Expert_003,Tema 1,Amenazas humanas,Sustentabilidad
Expert_003,Tema 1,Amenazas humanas,Valor cultural
Expert_003,Tema 1,Bienestar humano,Conciencia ambiental
Expert_003,Tema 1,Bienestar humano,Contaminación
Expert_003,Tema 1,Bienestar humano,Regulación climática
Expert_003,Tema 1,Bienestar humano,Sustentabilidad
Expert_003,Tema 1,Bienestar humano,Valor cultural
Expert_003,Tema 1,Conciencia ambiental,Contaminación
Expert_003,Tema 1,Conciencia ambiental,Regulación climática
Expert_003,Tema 1,Conciencia ambiental,Sustentabilidad
Expert_003,Tema 1,Conciencia ambiental,Valor cultural
Expert_003,Tema 1,Contaminación,Regulación climática
Expert_003,Tema 1,Contaminación,Sustentabilidad
Expert_003,Tema 1,Contaminación,Valor cultural
Expert_003,Tema 1,Regulación climática,Sustentabilidad
Expert_003,Tema 1,Regulación climática,Valor cultural
Expert_003,Tema 1,Sustentabilidad,Valor cultural
Expert_003,Tema 2,Biodiversidad,Ciclos biogeoquímicos
Expert_003,Tema 2,Biodiversidad,Ciencias marinas
Expert_003,Tema 2,Biodiversidad,Conservación
Expert_003,Tema 2,Biodiversidad,Dinámica costera
Expert_003,Tema 2,Biodiversidad,Especies clave
Expert_003,Tema 2,Biodiversidad,Evolución
Expert_003,Tema 2,Biodiversidad,Oceanografía física
Expert_003,Tema 2,Biodiversidad,Regulación de la biodiversidad global
Expert_003,Tema 2,Biodiversidad,Servicios ecosistemicos
Expert_003,Tema 2,Ciclos biogeoquímicos,Ciencias marinas
Expert_003,Tema 2,Ciclos biogeoquímicos,Conservación
Expert_003,Tema 2,Ciclos biogeoquímicos,Dinámica costera
Expert_003,Tema 2,Ciclos biogeoquímicos,Especies clave
Expert_003,Tema 2,Ciclos biogeoquímicos,Evolución
Expert_003,Tema 2,Ciclos biogeoquímicos,Oceanografía física
Expert_003,Tema 2,Ciclos biogeoquímicos,Regulación de la biodiversidad global
Expert_003,Tema 2,Ciclos biogeoquímicos,Servicios ecosistemicos
Expert_003,Tema 2,Ciencias marinas,Conservación
Expert_003,Tema 2,Ciencias marinas,Dinámica costera
Expert_003,Tema 2,Ciencias marinas,Especies clave
Expert_003,Tema 2,Ciencias marinas,Evolución
Expert_003,Tema 2,Ciencias marinas,Oceanografía física
Expert_003,Tema 2,Ciencias marinas,Regulación de la biodiversidad global
Expert_003,Tema 2,Ciencias marinas,Servicios ecosistemicos
Expert_003,Tema 2,Conservación,Dinámica costera
Expert_003,Tema 2,Conservación,Especies clave
Expert_003,Tema 2,Conservación,Evolución
Expert_003,Tema 2,Conservación,Oceanografía física
Expert_003,Tema 2,Conservación,Regulación de la biodiversidad global
Expert_003,Tema 2,Conservación,Servicios ecosistemicos
Expert_003,Tema 2,Dinámica costera,Especies clave
Expert_003,Tema 2,Dinámica costera,Evolución
Expert_003,Tema 2,Dinámica costera,Oceanografía física
Expert_003,Tema 2,Dinámica costera,Regulación de la biodiversidad global
Expert_003,Tema 2,Dinámica costera,Servicios ecosistemicos
Expert_003,Tema 2,Especies clave,Evolución
Expert_003,Tema 2,Especies clave,Oceanografía física
Expert_003,Tema 2,Especies clave,Regulación de la biodiversidad global
Expert_003,Tema 2,Especies clave,Servicios ecosistemicos
Expert_003,Tema 2,Evolución,Oceanografía física
Expert_003,Tema 2,Evolución,Regulación de la biodiversidad global
Expert_003,Tema 2,Evolución,Servicios ecosistemicos
Expert_003,Tema 2,Oceanografía física,Regulación de la biodiversidad global
Expert_003,Tema 2,Oceanografía física,Servicios ecosistemicos
Expert_003,Tema 2,Regulación de la biodiversidad global,Servicios ecosistemicos
Expert_003,Tema 3,Aspectos socio-económicos,Cambio climático
Expert_003,Tema 3,Aspectos socio-económicos,Geografia
Expert_003,Tema 3,Cambio climático,Geografia
Expert_004,Tema 1,Amenazas humanas,Aspectos socio-económicos
Expert_004,Tema 1,Amenazas humanas,Bienestar humano
Expert_004,Tema 1,Aspectos socio-económicos,Bienestar humano
Expert_004,Tema 2,Ciclos biogeoquímicos,Dinámica costera
Expert_004,Tema 2,Ciclos biogeoquímicos,Regulación climática
Expert_004,Tema 2,Dinámica costera,Regulación climática
Expert_004,Tema 3,Biodiversidad,Cambio climático
Expert_004,Tema 3,Biodiversidad,Conservación
Expert_004,Tema 3,Biodiversidad,Especies clave
Expert_004,Tema 3,Biodiversidad,Evolución
Expert_004,Tema 3,Biodiversidad,Regulación de la biodiversidad global
Expert_004,Tema 3,Biodiversidad,Servicios ecosistemicos
Expert_004,Tema 3,Biodiversidad,Sustentabilidad
Expert_004,Tema 3,Cambio climático,Conservación
Expert_004,Tema 3,Cambio climático,Especies clave
Expert_004,Tema 3,Cambio climático,Evolución
Expert_004,Tema 3,Cambio climático,Regulación de la biodiversidad global
Expert_004,Tema 3,Cambio climático,Servicios ecosistemicos
Expert_004,Tema 3,Cambio climático,Sustentabilidad
Expert_004,Tema 3,Conservación,Especies clave
Expert_004,Tema 3,Conservación,Evolución
Expert_004,Tema 3,Conservación,Regulación de la biodiversidad global
Expert_004,Tema 3,Conservación,Servicios ecosistemicos
Expert_004,Tema 3,Conservación,Sustentabilidad
Expert_004,Tema 3,Especies clave,Evolución
Expert_004,Tema 3,Especies clave,Regulación de la biodiversidad global
Expert_004,Tema 3,Especies clave,Servicios ecosistemicos
Expert_004,Tema 3,Especies clave,Sustentabilidad
Expert_004,Tema 3,Evolución,Regulación de la biodiversidad global
Expert_004,Tema 3,Evolución,Servicios ecosistemicos
Expert_004,Tema 3,Evolución,Sustentabilidad
Expert_004,Tema 3,Regulación de la biodiversidad global,Servicios ecosistemicos
Expert_004,Tema 3,Regulación de la biodiversidad global,Sustentabilidad
Expert_004,Tema 3,Servicios ecosistemicos,Sustentabilidad
Expert_004,Tema 4,Ciencias marinas,Conciencia ambiental
Expert_004,Tema 4,Ciencias marinas,Valor cultural
Expert_004,Tema 4,Conciencia ambiental,Valor cultural
Expert_004,Tema 5,Contaminación,Geografia
Expert_004,Tema 5,Contaminación,Oceanografía física
Expert_004,Tema 5,Geografia,Oceanografía física
Expert_005,Tema 1,Amenazas humanas,Aspectos socio-económicos
Expert_005,Tema 1,Amenazas humanas,Bienestar humano
Expert_005,Tema 1,Amenazas humanas,Contaminación
Expert_005,Tema 1,Amenazas humanas,Geografia
Expert_005,Tema 1,Aspectos socio-económicos,Bienestar humano
Expert_005,Tema 1,Aspectos socio-económicos,Contaminación
Expert_005,Tema 1,Aspectos socio-económicos,Geografia
Expert_005,Tema 1,Bienestar humano,Contaminación
Expert_005,Tema 1,Bienestar humano,Geografia
Expert_005,Tema 1,Contaminación,Geografia
Expert_005,Tema 2,Biodiversidad,Ciencias marinas
Expert_005,Tema 2,Biodiversidad,Dinámica costera
Expert_005,Tema 2,Biodiversidad,Especies clave
Expert_005,Tema 2,Biodiversidad,Evolución
Expert_005,Tema 2,Biodiversidad,Oceanografía física
Expert_005,Tema 2,Ciencias marinas,Dinámica costera
Expert_005,Tema 2,Ciencias marinas,Especies clave
Expert_005,Tema 2,Ciencias marinas,Evolución
Expert_005,Tema 2,Ciencias marinas,Oceanografía física
Expert_005,Tema 2,Dinámica costera,Especies clave
Expert_005,Tema 2,Dinámica costera,Evolución
Expert_005,Tema 2,Dinámica costera,Oceanografía física
Expert_005,Tema 2,Especies clave,Evolución
Expert_005,Tema 2,Especies clave,Oceanografía física
Expert_005,Tema 2,Evolución,Oceanografía física
Expert_005,Tema 3,Cambio climático,Ciclos biogeoquímicos
Expert_005,Tema 3,Cambio climático,Regulación climática
Expert_005,Tema 3,Ciclos biogeoquímicos,Regulación climática
Expert_005,Tema 4,Conciencia ambiental,Conservación
Expert_005,Tema 4,Conciencia ambiental,Regulación de la biodiversidad global
Expert_005,Tema 4,Conciencia ambiental,Servicios ecosistemicos
Expert_005,Tema 4,Conciencia ambiental,Sustentabilidad
Expert_005,Tema 4,Conciencia ambiental,Valor cultural
Expert_005,Tema 4,Conservación,Regulación de la biodiversidad global
Expert_005,Tema 4,Conservación,Servicios ecosistemicos
Expert_005,Tema 4,Conservación,Sustentabilidad
Expert_005,Tema 4,Conservación,Valor cultural
Expert_005,Tema 4,Regulación de la biodiversidad global,Servicios ecosistemicos
Expert_005,Tema 4,Regulación de la biodiversidad global,Sustentabilidad
Expert_005,Tema 4,Regulación de la biodiversidad global,Valor cultural
Expert_005,Tema 4,Servicios ecosistemicos,Sustentabilidad
Expert_005,Tema 4,Servicios ecosistemicos,Valor cultural
Expert_005,Tema 4,Sustentabilidad,Valor cultural
Expert_006,Tema 1,Amenazas humanas,Biodiversidad
Expert_006,Tema 1,Amenazas humanas,Conservación
Expert_006,Tema 1,Amenazas humanas,Contaminación
Expert_006,Tema 1,Amenazas humanas,Especies clave
Expert_006,Tema 1,Amenazas humanas,Sustentabilidad
Expert_006,Tema 1,Biodiversidad,Conservación
Expert_006,Tema 1,Biodiversidad,Contaminación
Expert_006,Tema 1,Biodiversidad,Especies clave
Expert_006,Tema 1,Biodiversidad,Sustentabilidad
Expert_006,Tema 1,Conservación,Contaminación
Expert_006,Tema 1,Conservación,Especies clave
Expert_006,Tema 1,Conservación,Sustentabilidad
Expert_006,Tema 1,Contaminación,Especies clave
Expert_006,Tema 1,Contaminación,Sustentabilidad
Expert_006,Tema 1,Especies clave,Sustentabilidad
Expert_006,Tema 2,Cambio climático,Ciencias marinas
Expert_006,Tema 2,Cambio climático,Regulación climática
Expert_006,Tema 2,Cambio climático,Regulación de la biodiversidad global
Expert_006,Tema 2,Ciencias marinas,Regulación climática
Expert_006,Tema 2,Ciencias marinas,Regulación de la biodiversidad global
Expert_006,Tema 2,Regulación climática,Regulación de la biodiversidad global
Expert_006,Tema 3,Aspectos socio-económicos,Bienestar humano
Expert_006,Tema 3,Aspectos socio-económicos,Conciencia ambiental
Expert_006,Tema 3,Aspectos socio-económicos,Servicios ecosistemicos
Expert_006,Tema 3,Aspectos socio-económicos,Valor cultural
Expert_006,Tema 3,Bienestar humano,Conciencia ambiental
Expert_006,Tema 3,Bienestar humano,Servicios ecosistemicos
Expert_006,Tema 3,Bienestar humano,Valor cultural
Expert_006,Tema 3,Conciencia ambiental,Servicios ecosistemicos
Expert_006,Tema 3,Conciencia ambiental,Valor cultural
Expert_006,Tema 3,Servicios ecosistemicos,Valor cultural
Expert_006,Tema 4,Ciclos biogeoquímicos,Dinámica costera
Expert_006,Tema 4,Ciclos biogeoquímicos,Geografia
Expert_006,Tema 4,Ciclos biogeoquímicos,Oceanografía física
Expert_006,Tema 4,Dinámica costera,Geografia
Expert_006,Tema 4,Dinámica costera,Oceanografía física
Expert_006,Tema 4,Geografia,Oceanografía física
Expert_007,Tema 1,Amenazas humanas,Aspectos socio-económicos
Expert_007,Tema 1,Amenazas humanas,Bienestar humano
Expert_007,Tema 1,Amenazas humanas,Conciencia ambiental
Expert_007,Tema 1,Amenazas humanas,Contaminación
Expert_007,Tema 1,Amenazas humanas,Servicios ecosistemicos
Expert_007,Tema 1,Amenazas humanas,Sustentabilidad
Expert_007,Tema 1,Amenazas humanas,Valor cultural
Expert_007,Tema 1,Aspectos socio-económicos,Bienestar humano
Expert_007,Tema 1,Aspectos socio-económicos,Conciencia ambiental
Expert_007,Tema 1,Aspectos socio-económicos,Contaminación
Expert_007,Tema 1,Aspectos socio-económicos,Servicios ecosistemicos
Expert_007,Tema 1,Aspectos socio-económicos,Sustentabilidad
Expert_007,Tema 1,Aspectos socio-económicos,Valor cultural
Expert_007,Tema 1,Bienestar humano,Conciencia ambiental
Expert_007,Tema 1,Bienestar humano,Contaminación
Expert_007,Tema 1,Bienestar humano,Servicios ecosistemicos
Expert_007,Tema 1,Bienestar humano,Sustentabilidad
Expert_007,Tema 1,Bienestar humano,Valor cultural
Expert_007,Tema 1,Conciencia ambiental,Contaminación
Expert_007,Tema 1,Conciencia ambiental,Servicios ecosistemicos
Expert_007,Tema 1,Conciencia ambiental,Sustentabilidad
Expert_007,Tema 1,Conciencia ambiental,Valor cultural
Expert_007,Tema 1,Contaminación,Servicios ecosistemicos
Expert_007,Tema 1,Contaminación,Sustentabilidad
Expert_007,Tema 1,Contaminación,Valor cultural
Expert_007,Tema 1,Servicios ecosistemicos,Sustentabilidad
Expert_007,Tema 1,Servicios ecosistemicos,Valor cultural
Expert_007,Tema 1,Sustentabilidad,Valor cultural
Expert_007,Tema 2,Biodiversidad,Ciclos biogeoquímicos
Expert_007,Tema 2,Biodiversidad,Ciencias marinas
Expert_007,Tema 2,Biodiversidad,Conservación
Expert_007,Tema 2,Biodiversidad,Especies clave
Expert_007,Tema 2,Biodiversidad,Evolución
Expert_007,Tema 2,Biodiversidad,Regulación de la biodiversidad global
Expert_007,Tema 2,Ciclos biogeoquímicos,Ciencias marinas
Expert_007,Tema 2,Ciclos biogeoquímicos,Conservación
Expert_007,Tema 2,Ciclos biogeoquímicos,Especies clave
Expert_007,Tema 2,Ciclos biogeoquímicos,Evolución
Expert_007,Tema 2,Ciclos biogeoquímicos,Regulación de la biodiversidad global
Expert_007,Tema 2,Ciencias marinas,Conservación
Expert_007,Tema 2,Ciencias marinas,Especies clave
Expert_007,Tema 2,Ciencias marinas,Evolución
Expert_007,Tema 2,Ciencias marinas,Regulación de la biodiversidad global
Expert_007,Tema 2,Conservación,Especies clave
Expert_007,Tema 2,Conservación,Evolución
Expert_007,Tema 2,Conservación,Regulación de la biodiversidad global
Expert_007,Tema 2,Especies clave,Evolución
Expert_007,Tema 2,Especies clave,Regulación de la biodiversidad global
Expert_007,Tema 2,Evolución,Regulación de la biodiversidad global
Expert_007,Tema 3,Cambio climático,Dinámica costera
Expert_007,Tema 3,Cambio climático,Geografia
Expert_007,Tema 3,Cambio climático,Oceanografía física
Expert_007,Tema 3,Cambio climático,Regulación climática
Expert_007,Tema 3,Dinámica costera,Geografia
Expert_007,Tema 3,Dinámica costera,Oceanografía física
Expert_007,Tema 3,Dinámica costera,Regulación climática
Expert_007,Tema 3,Geografia,Oceanografía física
Expert_007,Tema 3,Geografia,Regulación climática
Expert_007,Tema 3,Oceanografía física,Regulación climática
Expert_007,no es necesario,NA,NA
Expert_008,Tema 1,Ciclos biogeoquímicos,Ciencias marinas
Expert_008,Tema 1,Ciclos biogeoquímicos,Dinámica costera
Expert_008,Tema 1,Ciclos biogeoquímicos,Especies clave
Expert_008,Tema 1,Ciclos biogeoquímicos,Geografia
Expert_008,Tema 1,Ciclos biogeoquímicos,Oceanografía física
Expert_008,Tema 1,Ciencias marinas,Dinámica costera
Expert_008,Tema 1,Ciencias marinas,Especies clave
Expert_008,Tema 1,Ciencias marinas,Geografia
Expert_008,Tema 1,Ciencias marinas,Oceanografía física
Expert_008,Tema 1,Dinámica costera,Especies clave
Expert_008,Tema 1,Dinámica costera,Geografia
Expert_008,Tema 1,Dinámica costera,Oceanografía física
Expert_008,Tema 1,Especies clave,Geografia
Expert_008,Tema 1,Especies clave,Oceanografía física
Expert_008,Tema 1,Geografia,Oceanografía física
Expert_008,Tema 2,Aspectos socio-económicos,Bienestar humano
Expert_008,Tema 2,Aspectos socio-económicos,Conciencia ambiental
Expert_008,Tema 2,Aspectos socio-económicos,Valor cultural
Expert_008,Tema 2,Bienestar humano,Conciencia ambiental
Expert_008,Tema 2,Bienestar humano,Valor cultural
Expert_008,Tema 2,Conciencia ambiental,Valor cultural
Expert_008,Tema 3,Amenazas humanas,Cambio climático
Expert_008,Tema 3,Amenazas humanas,Contaminación
Expert_008,Tema 3,Cambio climático,Contaminación
Expert_008,Tema 4,Biodiversidad,Evolución
Expert_008,Tema 4,Biodiversidad,Servicios ecosistemicos
Expert_008,Tema 4,Evolución,Servicios ecosistemicos
Expert_008,Tema 5,Regulación climática,Regulación de la biodiversidad global
Expert_009,Tema 1,Biodiversidad,Cambio climático
Expert_009,Tema 1,Biodiversidad,Regulación climática
Expert_009,Tema 1,Biodiversidad,Regulación de la biodiversidad global
Expert_009,Tema 1,Cambio climático,Regulación climática
Expert_009,Tema 1,Cambio climático,Regulación de la biodiversidad global
Expert_009,Tema 1,Regulación climática,Regulación de la biodiversidad global
Expert_009,Tema 2,Amenazas humanas,Conservación
Expert_009,Tema 2,Amenazas humanas,Contaminación
Expert_009,Tema 2,Amenazas humanas,Especies clave
Expert_009,Tema 2,Conservación,Contaminación
Expert_009,Tema 2,Conservación,Especies clave
Expert_009,Tema 2,Contaminación,Especies clave
Expert_009,Tema 3,Aspectos socio-económicos,Bienestar humano
Expert_009,Tema 3,Aspectos socio-económicos,Valor cultural
Expert_009,Tema 3,Bienestar humano,Valor cultural
Expert_009,Tema 4,Ciclos biogeoquímicos,Ciencias marinas
Expert_009,Tema 4,Ciclos biogeoquímicos,Dinámica costera
Expert_009,Tema 4,Ciclos biogeoquímicos,Evolución
Expert_009,Tema 4,Ciclos biogeoquímicos,Geografia
Expert_009,Tema 4,Ciclos biogeoquímicos,Oceanografía física
Expert_009,Tema 4,Ciencias marinas,Dinámica costera
Expert_009,Tema 4,Ciencias marinas,Evolución
Expert_009,Tema 4,Ciencias marinas,Geografia
Expert_009,Tema 4,Ciencias marinas,Oceanografía física
Expert_009,Tema 4,Dinámica costera,Evolución
Expert_009,Tema 4,Dinámica costera,Geografia
Expert_009,Tema 4,Dinámica costera,Oceanografía física
Expert_009,Tema 4,Evolución,Geografia
Expert_009,Tema 4,Evolución,Oceanografía física
Expert_009,Tema 4,Geografia,Oceanografía física
Expert_009,Tema 5,Conciencia ambiental,Servicios ecosistemicos
Expert_009,Tema 5,Conciencia ambiental,Sustentabilidad
Expert_009,Tema 5,Servicios ecosistemicos,Sustentabilidad
Expert_010,Tema 2,Aspectos socio-económicos,Servicios ecosistemicos
Expert_010,Tema 4,Biodiversidad,Cambio climático
Expert_010,Tema 4,Biodiversidad,Ciclos biogeoquímicos
Expert_010,Tema 4,Biodiversidad,Conservación
Expert_010,Tema 4,Biodiversidad,Contaminación
Expert_010,Tema 4,Biodiversidad,Dinámica costera
Expert_010,Tema 4,Biodiversidad,Especies clave
Expert_010,Tema 4,Biodiversidad,Evolución
Expert_010,Tema 4,Biodiversidad,Regulación climática
Expert_010,Tema 4,Biodiversidad,Regulación de la biodiversidad global
Expert_010,Tema 4,Biodiversidad,Sustentabilidad
Expert_010,Tema 4,Cambio climático,Ciclos biogeoquímicos
Expert_010,Tema 4,Cambio climático,Conservación
Expert_010,Tema 4,Cambio climático,Contaminación
Expert_010,Tema 4,Cambio climático,Dinámica costera
Expert_010,Tema 4,Cambio climático,Especies clave
Expert_010,Tema 4,Cambio climático,Evolución
Expert_010,Tema 4,Cambio climático,Regulación climática
Expert_010,Tema 4,Cambio climático,Regulación de la biodiversidad global
Expert_010,Tema 4,Cambio climático,Sustentabilidad
Expert_010,Tema 4,Ciclos biogeoquímicos,Conservación
Expert_010,Tema 4,Ciclos biogeoquímicos,Contaminación
Expert_010,Tema 4,Ciclos biogeoquímicos,Dinámica costera
Expert_010,Tema 4,Ciclos biogeoquímicos,Especies clave
Expert_010,Tema 4,Ciclos biogeoquímicos,Evolución
Expert_010,Tema 4,Ciclos biogeoquímicos,Regulación climática
Expert_010,Tema 4,Ciclos biogeoquímicos,Regulación de la biodiversidad global
Expert_010,Tema 4,Ciclos biogeoquímicos,Sustentabilidad
Expert_010,Tema 4,Conservación,Contaminación
Expert_010,Tema 4,Conservación,Dinámica costera
Expert_010,Tema 4,Conservación,Especies clave
Expert_010,Tema 4,Conservación,Evolución
Expert_010,Tema 4,Conservación,Regulación climática
Expert_010,Tema 4,Conservación,Regulación de la biodiversidad global
Expert_010,Tema 4,Conservación,Sustentabilidad
Expert_010,Tema 4,Contaminación,Dinámica costera
Expert_010,Tema 4,Contaminación,Especies clave
Expert_010,Tema 4,Contaminación,Evolución
Expert_010,Tema 4,Contaminación,Regulación climática
Expert_010,Tema 4,Contaminación,Regulación de la biodiversidad global
Expert_010,Tema 4,Contaminación,Sustentabilidad
Expert_010,Tema 4,Dinámica costera,Especies clave
Expert_010,Tema 4,Dinámica costera,Evolución
Expert_010,Tema 4,Dinámica costera,Regulación climática
Expert_010,Tema 4,Dinámica costera,Regulación de la biodiversidad global
Expert_010,Tema 4,Dinámica costera,Sustentabilidad
Expert_010,Tema 4,Especies clave,Evolución
Expert_010,Tema 4,Especies clave,Regulación climática
Expert_010,Tema 4,Especies clave,Regulación de la biodiversidad global
Expert_010,Tema 4,Especies clave,Sustentabilidad
Expert_010,Tema 4,Evolución,Regulación climática
Expert_010,Tema 4,Evolución,Regulación de la biodiversidad global
Expert_010,Tema 4,Evolución,Sustentabilidad
Expert_010,Tema 4,Regulación climática,Regulación de la biodiversidad global
Expert_010,Tema 4,Regulación climática,Sustentabilidad
Expert_010,Tema 4,Regulación de la biodiversidad global,Sustentabilidad
Expert_010,Tema 5,Bienestar humano,Ciencias marinas
Expert_010,Tema 5,Bienestar humano,Geografia
Expert_010,Tema 5,Bienestar humano,Oceanografía física
Expert_010,Tema 5,Bienestar humano,Valor cultural
Expert_010,Tema 5,Ciencias marinas,Geografia
Expert_010,Tema 5,Ciencias marinas,Oceanografía física
Expert_010,Tema 5,Ciencias marinas,Valor cultural
Expert_010,Tema 5,Geografia,Oceanografía física
Expert_010,Tema 5,Geografia,Valor cultural
Expert_010,Tema 5,Oceanografía física,Valor cultural
Expert_011,Tema 1,Ciclos biogeoquímicos,Dinámica costera
Expert_011,Tema 1,Ciclos biogeoquímicos,Geografia
Expert_011,Tema 1,Ciclos biogeoquímicos,Oceanografía física
Expert_011,Tema 1,Ciclos biogeoquímicos,Regulación climática
Expert_011,Tema 1,Dinámica costera,Geografia
Expert_011,Tema 1,Dinámica costera,Oceanografía física
Expert_011,Tema 1,Dinámica costera,Regulación climática
Expert_011,Tema 1,Geografia,Oceanografía física
Expert_011,Tema 1,Geografia,Regulación climática
Expert_011,Tema 1,Oceanografía física,Regulación climática
Expert_011,Tema 2,Biodiversidad,Conservación
Expert_011,Tema 2,Biodiversidad,Especies clave
Expert_011,Tema 2,Biodiversidad,Evolución
